transaction_id,customer_id,timestamp,type,merchant_category,amount,is_fraud
TX0000001,cust_0722,2024-06-28T08:29:00,transfer,travel,108.98,0
TX0000002,cust_0082,2024-02-20T14:29:00,purchase,entertainment,1283.7,0
TX0000003,cust_0465,2024-03-05T16:12:00,withdrawal,travel,955.35,0
TX0000004,cust_0215,2024-04-27T23:18:00,transfer,healthcare,1006.91,0
TX0000005,cust_0074,2024-02-14T13:35:00,payment,healthcare,915.65,0
TX0000006,cust_0168,2024-05-05T06:37:00,payment,healthcare,696.08,0
TX0000007,cust_0571,2024-02-11T16:43:00,payment,electronics,333.32,0
TX0000008,cust_0033,2024-02-08T09:47:00,withdrawal,electronics,1208.54,0
TX0000009,cust_0581,2024-03-31T21:10:00,payment,healthcare,1315.17,0
TX0000010,cust_0406,2024-02-18T05:16:00,transfer,grocery,1327.6,0
TX0000011,cust_0143,2024-05-15T23:45:00,withdrawal,travel,373.71,0
TX0000012,cust_0598,2024-04-02T18:09:00,payment,grocery,602.1,0
TX0000013,cust_0506,2024-01-28T19:46:00,payment,electronics,140.91,0
TX0000014,cust_0643,2024-01-12T13:33:00,transfer,utilities,244.17,0
TX0000015,cust_0395,2024-02-15T18:26:00,purchase,utilities,575.52,0
TX0000016,cust_0567,2024-01-21T20:29:00,payment,healthcare,1291.87,0
TX0000017,cust_0699,2024-03-02T22:14:00,transfer,healthcare,1327.76,0
TX0000018,cust_0115,2024-06-22T15:17:00,payment,electronics,443.78,0
TX0000019,cust_0737,2024-04-02T10:05:00,withdrawal,grocery,398.77,0
TX0000020,cust_0109,2024-04-02T10:00:00,payment,healthcare,1306.43,0
TX0000021,cust_0624,2024-04-08T04:34:00,withdrawal,grocery,302.37,0
TX0000022,cust_0798,2024-02-29T00:15:00,purchase,utilities,1384.04,0
TX0000023,cust_0501,2024-02-13T14:10:00,purchase,travel,34.12,0
TX0000024,cust_0060,2024-01-16T14:13:00,withdrawal,electronics,365.1,0
TX0000025,cust_0750,2024-05-19T09:58:00,payment,utilities,731.56,0
TX0000026,cust_0129,2024-01-31T01:27:00,withdrawal,utilities,196.95,0
TX0000027,cust_0272,2024-06-18T02:29:00,transfer,grocery,793.87,0
TX0000028,cust_0553,2024-02-26T17:54:00,transfer,healthcare,1134.12,0
