Time_ID,Timestamp,Date,Hour,Day_Of_Week,Month,Week_Number
2024011705,2024-01-17 05:00:00,2024-01-17,5,Wednesday,January,3
2024052019,2024-05-20 19:00:00,2024-05-20,19,Monday,May,21
2024042902,2024-04-29 02:00:00,2024-04-29,2,Monday,April,18
2024032020,2024-03-20 20:00:00,2024-03-20,20,Wednesday,March,12
2024031918,2024-03-19 18:00:00,2024-03-19,18,Tuesday,March,12
2024060505,2024-06-05 05:00:00,2024-06-05,5,Wednesday,June,23
2024011615,2024-01-16 15:00:00,2024-01-16,15,Tuesday,January,3
2024050621,2024-05-06 21:00:00,2024-05-06,21,Monday,May,19
2024020615,2024-02-06 15:00:00,2024-02-06,15,Tuesday,February,6
2024011803,2024-01-18 03:00:00,2024-01-18,3,Thursday,January,3
2024040519,2024-04-05 19:00:00,2024-04-05,19,Friday,April,14
2024062612,2024-06-26 12:00:00,2024-06-26,12,Wednesday,June,26
2024051321,2024-05-13 21:00:00,2024-05-13,21,Monday,May,20
2024051811,2024-05-18 11:00:00,2024-05-18,11,Saturday,May,20
2024051013,2024-05-10 13:00:00,2024-05-10,13,Friday,May,19
2024052300,2024-05-23 00:00:00,2024-05-23,0,Thursday,May,21
2024040309,2024-04-03 09:00:00,2024-04-03,9,Wednesday,April,14
2024012407,2024-01-24 07:00:00,2024-01-24,7,Wednesday,January,4
2024060119,2024-06-01 19:00:00,2024-06-01,19,Saturday,June,22
2024032222,2024-03-22 22:00:00,2024-03-22,22,Friday,March,12
2024040101,2024-04-01 01:00:00,2024-04-01,1,Monday,April,14
2024030811,2024-03-08 11:00:00,2024-03-08,11,Friday,March,10
2024020305,2024-02-03 05:00:00,2024-02-03,5,Saturday,February,5
2024061715,2024-06-17 15:00:00,2024-06-17,15,Monday,June,25
2024052205,2024-05-22 05:00:00,2024-05-22,5,Wednesday,May,21
2024042703,2024-04-27 03:00:00,2024-04-27,3,Saturday,April,17
2024031405,2024-03-14 05:00:00,2024-03-14,5,Thursday,March,11
2024052916,2024-05-29 16:00:00,2024-05-29,16,Wednesday,May,22
2024040905,2024-04-09 05:00:00,2024-04-09,5,Tuesday,April,15
2024032116,2024-03-21 16:00:00,2024-03-21,16,Thursday,March,12
2024032223,2024-03-22 23:00:00,2024-03-22,23,Friday,March,12
2024021108,2024-02-11 08:00:00,2024-02-11,8,Sunday,February,6
2024011718,2024-01-17 18:00:00,2024-01-17,18,Wednesday,January,3
2024041021,2024-04-10 21:00:00,2024-04-10,21,Wednesday,April,15
2024061013,2024-06-10 13:00:00,2024-06-10,13,Monday,June,24
2024011214,2024-01-12 14:00:00,2024-01-12,14,Friday,January,2
2024060504,2024-06-05 04:00:00,2024-06-05,4,Wednesday,June,23
2024053014,2024-05-30 14:00:00,2024-05-30,14,Thursday,May,22
2024022008,2024-02-20 08:00:00,2024-02-20,8,Tuesday,February,8
2024042422,2024-04-24 22:00:00,2024-04-24,22,Wednesday,April,17
2024013101,2024-01-31 01:00:00,2024-01-31,1,Wednesday,January,5
2024051722,2024-05-17 22:00:00,2024-05-17,22,Friday,May,20
2024050711,2024-05-07 11:00:00,2024-05-07,11,Tuesday,May,19
2024030512,2024-03-05 12:00:00,2024-03-05,12,Tuesday,March,10
2024011308,2024-01-13 08:00:00,2024-01-13,8,Saturday,January,2
2024062515,2024-06-25 15:00:00,2024-06-25,15,Tuesday,June,26
2024032202,2024-03-22 02:00:00,2024-03-22,2,Friday,March,12
2024061112,2024-06-11 12:00:00,2024-06-11,12,Tuesday,June,24
2024050308,2024-05-03 08:00:00,2024-05-03,8,Friday,May,18
2024052115,2024-05-21 15:00:00,2024-05-21,15,Tuesday,May,21
2024051806,2024-05-18 06:00:00,2024-05-18,6,Saturday,May,20
2024020509,2024-02-05 09:00:00,2024-02-05,9,Monday,February,6
2024030705,2024-03-07 05:00:00,2024-03-07,5,Thursday,March,10
2024032522,2024-03-25 22:00:00,2024-03-25,22,Monday,March,13
2024033113,2024-03-31 13:00:00,2024-03-31,13,Sunday,March,13
2024010823,2024-01-08 23:00:00,2024-01-08,23,Monday,January,2
2024040910,2024-04-09 10:00:00,2024-04-09,10,Tuesday,April,15
2024012901,2024-01-29 01:00:00,2024-01-29,1,Monday,January,5
2024051506,2024-05-15 06:00:00,2024-05-15,6,Wednesday,May,20
2024050406,2024-05-04 06:00:00,2024-05-04,6,Saturday,May,18
2024061620,2024-06-16 20:00:00,2024-06-16,20,Sunday,June,24
